lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.0000, WER 3.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.5000, WER 4.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6875, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.3750, WER 2.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.000000
lm=None, beam=35, bs=1, test_aug:2, horflip True: CER 0.7500, WER 1.000000
lm=models/lrs2_language_model, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.000000
lm=models/lrs2_language_model, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 5.0000, WER 5.666667
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.4375, WER 2.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.6875, WER 3.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.9375, WER 1.666667
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.1875, WER 2.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.1250, WER 2.000000
lm=None, beam=35, bs=1, test_aug:2, horflip True: CER 1.1250, WER 2.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 3.4375, WER 4.666667
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.3750, WER 3.333333
lm=None, beam=35, bs=1, test_aug:2, horflip True: CER 2.2500, WER 3.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.333333
